port_number,port_name,transport_number,average_bitrate,tei_count,discontinuity_count,used_backup,port_info,port_source_info,device_info,mode,rpt_start_date_yyyymmdd,rpt_start_time,rpt_end_date_yyyymmdd,rpt_end_time
1019,ChannelA,,0.0000,0,0,N,233.14.202.59:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1045,ChannelCGV,,0.0000,0,0,N,233.14.202.29:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1048,CineF,,0.0000,0,0,N,233.18.145.94:56530,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1008,CJOShopping,,0.0000,0,0,N,233.14.202.16:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1033,CJOshoppingPlus,,0.0000,0,0,N,233.18.145.176:57810,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1015,EBS1,,0.0000,0,0,N,233.18.145.121:55492,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1031,GSMyShop,,0.0000,0,0,N,233.18.145.174:57400,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1006,GSShop,,0.0000,0,0,N,233.14.202.20:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1035,HDHomeShopPlusShop,,0.0000,0,0,N,233.18.145.175:57600,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1011,HDShomeShopping,,0.0000,0,0,N,233.14.202.19:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1004,Home&Shopping,,0.0000,0,0,N,233.14.202.56:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1021,ImShopping,,0.0000,0,0,N,233.14.202.193:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1016,JTBC,,0.0000,0,0,N,233.14.202.58:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1041,JTBC2,,0.0000,0,0,N,233.18.145.65:56060,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1009,KBS1,,0.0000,0,0,N,233.18.145.192:55012,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1010,KBS1Kyeongin,,0.0000,0,0,N,233.18.145.198:55636,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
